# Orientation data file - Sat Oct 02 20:52:34 - min reliable 7
# ../mkd /home/dfisher/pisces2 /home/dfisher/pisces2/final_long_list
# 18 distances, 10 angles

ALA ALA

# a1 < 30, a2 < 30

8  -0.018 	# ((2462 / 2936136) / (304662 / 370101436))
9   0.070 	# ((5110 / 2936136) / (691082 / 370101436))
10  0.172 	# ((6852 / 2936136) / (1026204 / 370101436))
11  0.313 	# ((7694 / 2936136) / (1325786 / 370101436))
12  0.188 	# ((7464 / 2936136) / (1135604 / 370101436))
13  0.149 	# ((9190 / 2936136) / (1344584 / 370101436))
14  0.065 	# ((10980 / 2936136) / (1476732 / 370101436))
15  0.143 	# ((11590 / 2936136) / (1685858 / 370101436))
16  0.150 	# ((11656 / 2936136) / (1707046 / 370101436))
17  0.113 	# ((12578 / 2936136) / (1774316 / 370101436))
18  0.096 	# ((12776 / 2936136) / (1772366 / 370101436))
19  0.071 	# ((14208 / 2936136) / (1922464 / 370101436))
20  0.127 	# ((370574 / 2936136) / (53044862 / 370101436))

# a1 30-90, a2 > 90

3   0.000 	# ((0 / 2936136) / (576 / 370101436)) ?
4   0.065 	# ((56 / 2936136) / (7530 / 370101436))
5  -0.859 	# ((3320 / 2936136) / (177296 / 370101436))
6  -0.807 	# ((11746 / 2936136) / (660338 / 370101436))
7  -0.754 	# ((10554 / 2936136) / (626024 / 370101436))
8  -0.266 	# ((3052 / 2936136) / (294918 / 370101436))
9  -0.725 	# ((11784 / 2936136) / (719648 / 370101436))
10 -0.467 	# ((12400 / 2936136) / (979496 / 370101436))
11 -0.450 	# ((15552 / 2936136) / (1249456 / 370101436))
12 -0.168 	# ((9604 / 2936136) / (1023098 / 370101436))
13 -0.293 	# ((13028 / 2936136) / (1224868 / 370101436))
14 -0.142 	# ((12108 / 2936136) / (1323790 / 370101436))
15 -0.243 	# ((15830 / 2936136) / (1564852 / 370101436))
16 -0.201 	# ((15124 / 2936136) / (1559744 / 370101436))
17 -0.182 	# ((15298 / 2936136) / (1607464 / 370101436))
18 -0.121 	# ((14302 / 2936136) / (1597886 / 370101436))
19 -0.155 	# ((16162 / 2936136) / (1744880 / 370101436))
20 -0.058 	# ((393720 / 2936136) / (46840922 / 370101436))

# a1 30-90, a2 30-90, torsion < 90

3   0.000 	# ((0 / 2936136) / (18 / 370101436)) ?
4  -1.164 	# ((32 / 2936136) / (1260 / 370101436))
5  -1.018 	# ((870 / 2936136) / (39616 / 370101436))
6   0.004 	# ((2194 / 2936136) / (277776 / 370101436))
7   0.561 	# ((1116 / 2936136) / (246584 / 370101436))
8   0.478 	# ((1054 / 2936136) / (214222 / 370101436))
9  -0.138 	# ((1892 / 2936136) / (207826 / 370101436))
10 -0.133 	# ((2496 / 2936136) / (275398 / 370101436))
11 -0.009 	# ((2922 / 2936136) / (364988 / 370101436))
12 -0.089 	# ((3044 / 2936136) / (351062 / 370101436))
13  0.010 	# ((3002 / 2936136) / (382062 / 370101436))
14 -0.104 	# ((3708 / 2936136) / (421018 / 370101436))
15 -0.148 	# ((4462 / 2936136) / (484876 / 370101436))
16 -0.100 	# ((4564 / 2936136) / (520474 / 370101436))
17 -0.095 	# ((4500 / 2936136) / (515964 / 370101436))
18 -0.092 	# ((4586 / 2936136) / (527172 / 370101436))
19 -0.091 	# ((4970 / 2936136) / (571806 / 370101436))
20 -0.056 	# ((129856 / 2936136) / (15483400 / 370101436))

# a1 30-90, a2 30-90, torsion > 90

3   0.000 	# ((0 / 2936136) / (14 / 370101436)) ?
4  -1.543 	# ((32 / 2936136) / (862 / 370101436))
5  -1.640 	# ((1026 / 2936136) / (25076 / 370101436))
6  -0.592 	# ((1288 / 2936136) / (89824 / 370101436))
7   0.494 	# ((484 / 2936136) / (100004 / 370101436))
8  -0.132 	# ((966 / 2936136) / (106724 / 370101436))
9  -0.366 	# ((1738 / 2936136) / (151952 / 370101436))
10 -0.192 	# ((2372 / 2936136) / (246814 / 370101436))
11 -0.022 	# ((2714 / 2936136) / (334718 / 370101436))
12 -0.005 	# ((2744 / 2936136) / (344280 / 370101436))
13  0.016 	# ((2908 / 2936136) / (372292 / 370101436))
14 -0.101 	# ((3438 / 2936136) / (391686 / 370101436))
15 -0.111 	# ((3970 / 2936136) / (447686 / 370101436))
16 -0.078 	# ((4070 / 2936136) / (474698 / 370101436))
17 -0.021 	# ((4096 / 2936136) / (505662 / 370101436))
18 -0.054 	# ((4414 / 2936136) / (526946 / 370101436))
19 -0.017 	# ((4616 / 2936136) / (572140 / 370101436))
20 -0.044 	# ((125350 / 2936136) / (15125180 / 370101436))

ALA ARG

# a1 < 30, a2 < 30

3   0.000 	# ((0 / 1657404) / (0 / 370101436)) ?
4   0.000 	# ((0 / 1657404) / (122 / 370101436)) ?
5   0.000 	# ((1 / 1657404) / (1588 / 370101436)) ?
6   0.443 	# ((35 / 1657404) / (12168 / 370101436))
7   0.044 	# ((227 / 1657404) / (52960 / 370101436))
8   0.968 	# ((151 / 1657404) / (88776 / 370101436))
9   0.813 	# ((228 / 1657404) / (114804 / 370101436))
10  0.632 	# ((306 / 1657404) / (128594 / 370101436))
11  0.608 	# ((329 / 1657404) / (134942 / 370101436))
12  0.612 	# ((318 / 1657404) / (130958 / 370101436))
13  0.789 	# ((261 / 1657404) / (128320 / 370101436))
14  0.455 	# ((368 / 1657404) / (129466 / 370101436))
15  0.337 	# ((442 / 1657404) / (138222 / 370101436))
16  0.210 	# ((549 / 1657404) / (151212 / 370101436))
17  0.304 	# ((545 / 1657404) / (164956 / 370101436))
18  0.352 	# ((565 / 1657404) / (179444 / 370101436))
19  0.219 	# ((682 / 1657404) / (189614 / 370101436))
20  0.142 	# ((18120 / 1657404) / (4664118 / 370101436))

# a1 < 30, a2 30-90

3   0.000 	# ((0 / 1657404) / (0 / 370101436)) ?
4   0.000 	# ((0 / 1657404) / (500 / 370101436)) ?
5   0.495 	# ((29 / 1657404) / (10626 / 370101436))
6  -0.439 	# ((420 / 1657404) / (60444 / 370101436))
