# Orientation data file - Thu Sep 30 10:24:39 - min reliable 7
# ../mkd /home/dfisher/pisces2 /home/dfisher/pisces2/final_short_list
# 18 distances, 10 angles

ALA ALA

# a1 < 30, a2 < 30

7  -0.742 	# ((1750 / 156616) / (118152 / 22209512))
8  -0.296 	# ((396 / 156616) / (41756 / 22209512))
9  -0.782 	# ((1754 / 156616) / (113812 / 22209512))
10 -0.484 	# ((1784 / 156616) / (155876 / 22209512))
11 -0.496 	# ((2298 / 156616) / (198374 / 22209512))
12 -0.048 	# ((1024 / 156616) / (138356 / 22209512))
13 -0.380 	# ((1746 / 156616) / (169346 / 22209512))
14 -0.098 	# ((1322 / 156616) / (169988 / 22209512))
15 -0.296 	# ((1936 / 156616) / (204250 / 22209512))
16 -0.303 	# ((1840 / 156616) / (192710 / 22209512))
17 -0.266 	# ((1750 / 156616) / (190204 / 22209512))
18 -0.136 	# ((1348 / 156616) / (166862 / 22209512))
19 -0.331 	# ((1762 / 156616) / (179506 / 22209512))
20 -0.260 	# ((16490 / 156616) / (1803256 / 22209512))

# a1 30-90, a2 30-90, torsion < 90

3   0.000 	# ((0 / 156616) / (6 / 22209512)) ?
4   0.000 	# ((6 / 156616) / (184 / 22209512)) ?
5  -0.773 	# ((90 / 156616) / (5894 / 22209512))
6   0.230 	# ((290 / 156616) / (51754 / 22209512))
7   0.650 	# ((176 / 156616) / (47814 / 22209512))
8   0.829 	# ((104 / 156616) / (33782 / 22209512))
9  -0.122 	# ((248 / 156616) / (31124 / 22209512))
10 -0.064 	# ((292 / 156616) / (38832 / 22209512))
11  0.057 	# ((336 / 156616) / (50450 / 22209512))
12  0.086 	# ((296 / 156616) / (45750 / 22209512))
13  0.228 	# ((286 / 156616) / (50944 / 22209512))
14 -0.087 	# ((406 / 156616) / (52784 / 22209512))
15 -0.029 	# ((414 / 156616) / (57034 / 22209512))
16 -0.077 	# ((448 / 156616) / (58824 / 22209512))
17 -0.191 	# ((444 / 156616) / (52000 / 22209512))
18  0.025 	# ((330 / 156616) / (47994 / 22209512))
19 -0.049 	# ((368 / 156616) / (49698 / 22209512))
20 -0.044 	# ((3644 / 156616) / (494444 / 22209512))

# a1 30-90, a2 30-90, torsion > 90

3   0.000 	# ((0 / 156616) / (0 / 22209512)) ?
4   0.000 	# ((4 / 156616) / (106 / 22209512)) ?
5  -1.940 	# ((150 / 156616) / (3056 / 22209512))
6  -0.617 	# ((168 / 156616) / (12858 / 22209512))
7   0.664 	# ((50 / 156616) / (13780 / 22209512))
8  -0.293 	# ((130 / 156616) / (13754 / 22209512))
9  -0.448 	# ((220 / 156616) / (19934 / 22209512))
